dataset,fold,method,n_train,n_proto,cpu_seconds,blas_threads
spambase,0,KMeans,3677,1145,1.4219129999983124,1
spambase,0,LVQ3,3677,1145,10.146091999995406,1
spambase,0,SPOT,3677,1145,0.3579370000079507,1
spambase,0,GLVQ,3677,1145,84.70918400000664,1
spambase,0,GNG,3677,1145,18.56382000001031,1
spambase,1,RSP3,3677,1097,0.5241229999955976,1
spambase,1,SPINE,3677,1097,50.50068800000008,1
spambase,1,RHC,3677,394,0.1596540000027744,1
spambase,1,KMeans,3677,1097,1.5087119999952847,1
spambase,1,LVQ3,3677,1097,9.652746000007028,1
spambase,1,SPOT,3677,1097,0.3274210000090534,1
spambase,1,GLVQ,3677,1097,81.31740600000194,1
spambase,1,GNG,3677,1097,17.835646000006818,1
spambase,2,RSP3,3678,1124,0.6154000000096858,1
spambase,2,SPINE,3678,1124,51.93446300001233,1
spambase,2,RHC,3678,406,0.1568520000000717,1
spambase,2,KMeans,3678,1124,1.2887380000029225,1
spambase,2,LVQ3,3678,1124,9.893756999998004,1
spambase,2,SPOT,3678,1124,0.3351390000025276,1
spambase,2,GLVQ,3678,1124,82.74904100000276,1
spambase,2,GNG,3678,1124,18.204642000011518,1
spambase,3,RSP3,3678,1069,0.6127179999893997,1
spambase,3,SPINE,3678,1069,47.92879499999981,1
spambase,3,RHC,3678,393,0.1571049999911338,1
spambase,3,KMeans,3678,1069,1.2946289999963483,1
spambase,3,LVQ3,3678,1069,9.397140999994008,1
spambase,3,SPOT,3678,1069,0.32397800000035204,1
spambase,3,GLVQ,3678,1069,79.42299700000149,1
spambase,3,GNG,3678,1069,17.154238000002806,1
spambase,4,RSP3,3678,1112,0.6079940000054194,1
spambase,4,SPINE,3678,1112,51.00767199999245,1
spambase,4,RHC,3678,426,0.16618699999526143,1
spambase,4,KMeans,3678,1112,2.0394020000094315,1
spambase,4,LVQ3,3678,1112,9.836008000012953,1
spambase,4,SPOT,3678,1112,0.3284129999956349,1
spambase,4,GLVQ,3678,1112,82.1748399999924,1
spambase,4,GNG,3678,1112,18.33713300000818,1
texture,0,RSP3,4400,838,0.2506099999882281,1
texture,0,SPINE,4400,838,7.4620169999980135,1
texture,0,RHC,4400,251,0.05647799999860581,1
texture,0,KMeans,4400,838,0.3518460000050254,1
texture,0,LVQ3,4400,838,6.490034000002197,1
texture,0,SPOT,4400,838,0.5547289999958593,1
texture,0,GLVQ,4400,838,73.67518999999447,1
texture,0,GNG,4400,838,7.543938999995589,1
texture,1,RSP3,4400,801,0.22969100000045728,1
texture,1,SPINE,4400,801,6.969023000012385,1
texture,1,RHC,4400,250,0.0530060000019148,1
texture,1,KMeans,4400,801,0.33699900000647176,1
texture,1,LVQ3,4400,801,6.054631999999401,1
texture,1,SPOT,4400,801,0.5488800000021001,1
texture,1,GLVQ,4400,801,70.32822700000543,1
texture,1,GNG,4400,801,7.076590999990003,1
texture,2,RSP3,4400,815,0.24644699999771547,1
texture,2,SPINE,4400,815,7.426980000003823,1
texture,2,RHC,4400,244,0.054684000002453104,1
texture,2,KMeans,4400,815,0.35535199999867473,1
texture,2,LVQ3,4400,815,6.162192000003415,1
texture,2,SPOT,4400,815,0.5529390000010608,1
texture,2,GLVQ,4400,815,71.85256300000765,1
texture,2,GNG,4400,815,7.207664000001387,1
texture,3,RSP3,4400,822,0.23797700001159683,1
texture,3,SPINE,4400,822,7.379757000002428,1
texture,3,RHC,4400,249,0.06250500000896864,1
texture,3,KMeans,4400,822,0.34881500000483356,1
texture,3,LVQ3,4400,822,6.218934000004083,1
texture,3,SPOT,4400,822,0.5428530000062892,1
texture,3,GLVQ,4400,822,72.23106799999368,1
