acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,dataset,method,n_folds,n_proto,reduction,shared_build,swept
0.869622641509434,1193.0,False,0.25010482180293503,0.25,banana,Random,10,1193.0,0.7498951781970649,False,True
0.9032075471698114,1193.0,False,0.25010482180293503,0.25,banana,SPINE+1NN,10,1193.0,0.7498951781970649,False,True
0.9032075471698114,1193.0,False,0.25010482180293503,0.25,banana,SPINE+Graph,10,1193.0,0.7498951781970649,False,True
0.8681132075471698,1193.0,False,0.25010482180293503,0.25,banana,SPOT,10,1193.0,0.7498951781970649,False,True
0.8565420560747663,67.0,False,0.004969589081738614,0.005,eeg-eye-state,Full,10,13482.0,0.0,False,False
0.7175567423230974,67.0,False,0.004969589081738614,0.005,eeg-eye-state,GLVQ,10,67.0,0.9950304109182614,False,True
0.6453938584779706,67.0,False,0.004969589081738614,0.005,eeg-eye-state,GNG,10,67.0,0.9950304109182614,False,True
0.7034045393858477,67.0,False,0.004969589081738614,0.005,eeg-eye-state,KMeans,10,67.0,0.9950304109182614,False,True
0.7704939919893191,67.0,False,0.004969589081738614,0.005,eeg-eye-state,LVQ3,10,67.0,0.9950304109182614,False,True
0.8058744993324432,67.0,False,0.004969589081738614,0.005,eeg-eye-state,RHC,10,3051.4,0.7736685951639223,False,False
0.838785046728972,67.0,False,0.004969589081738614,0.005,eeg-eye-state,RSP3,10,6369.3,0.5275700934579439,False,False
0.5860480640854473,67.0,False,0.004969589081738614,0.005,eeg-eye-state,Random,10,67.0,0.9950304109182614,False,True
0.620694259012016,67.0,False,0.004969589081738614,0.005,eeg-eye-state,SPINE+1NN,10,67.0,0.9950304109182614,False,True
0.6333778371161548,67.0,False,0.004969589081738614,0.005,eeg-eye-state,SPINE+Graph,10,67.0,0.9950304109182614,False,True
0.617022696929239,67.0,False,0.004969589081738614,0.005,eeg-eye-state,SPOT,10,67.0,0.9950304109182614,False,True
0.8565420560747663,135.0,False,0.01001335113484646,0.01,eeg-eye-state,Full,10,13482.0,0.0,True,False
0.7306408544726303,135.0,False,0.01001335113484646,0.01,eeg-eye-state,GLVQ,10,135.0,0.9899866488651534,False,True
0.689052069425901,135.0,False,0.01001335113484646,0.01,eeg-eye-state,GNG,10,135.0,0.9899866488651534,False,True
0.7477303070761014,135.0,False,0.01001335113484646,0.01,eeg-eye-state,KMeans,10,135.0,0.9899866488651534,False,True
0.8038050734312415,135.0,False,0.01001335113484646,0.01,eeg-eye-state,LVQ3,10,135.0,0.9899866488651534,False,True
0.8058744993324432,135.0,False,0.01001335113484646,0.01,eeg-eye-state,RHC,10,3051.4,0.7736685951639223,True,False
0.838785046728972,135.0,False,0.01001335113484646,0.01,eeg-eye-state,RSP3,10,6369.3,0.5275700934579439,True,False
0.6199599465954606,135.0,False,0.01001335113484646,0.01,eeg-eye-state,Random,10,135.0,0.9899866488651534,False,True
0.6721628838451268,135.0,False,0.01001335113484646,0.01,eeg-eye-state,SPINE+1NN,10,135.0,0.9899866488651534,False,True
0.6913217623497998,135.0,False,0.01001335113484646,0.01,eeg-eye-state,SPINE+Graph,10,135.0,0.9899866488651534,False,True
0.6647530040053404,135.0,False,0.01001335113484646,0.01,eeg-eye-state,SPOT,10,135.0,0.9899866488651534,False,True
0.8565420560747663,270.0,False,0.02002670226969292,0.02,eeg-eye-state,Full,10,13482.0,0.0,True,False
0.7467957276368491,270.0,False,0.02002670226969292,0.02,eeg-eye-state,GLVQ,10,270.0,0.9799732977303071,False,True
0.735981308411215,270.0,False,0.02002670226969292,0.02,eeg-eye-state,GNG,10,270.0,0.9799732977303071,False,True
